mode,start_station_id,start_station_name,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,year_min,year_max,years_count,months_count,first_month,last_month,observation_months,data_quality,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available
nyc,2008,Little West St & 1 Pl,70017,34846,35171,70017,40.70569254000001,-74.01677685,2019,2019,1,7,4,12,9,lifetime_aggregate,610,871.2169901595327,1
nyc,2008.0,Little West St & 1 Pl,38963,19438,19525,38963,40.70569254,-74.01677685,2019,2019,1,5,1,8,8,lifetime_aggregate,610,1565.5878654107742,1
nyc,2009,Catherine St & Monroe St,29801,14852,14949,29801,40.71117444,-73.99682619,2019,2019,1,7,4,12,9,lifetime_aggregate,967,3244.8575551156005,1
nyc,2009.0,Catherine St & Monroe St,20919,10274,10645,20919,40.71117444,-73.99682619,2019,2019,1,5,1,8,8,lifetime_aggregate,967,4622.59190209857,1
nyc,2009.04,Shore Rd & 4 Ave,91,42,49,91,40.6115,-74.03513,2025,2025,1,2,11,12,2,lifetime_aggregate,432,474725.2747252747,1
nyc,2010.0,Grand St & Greene St,8629,4285,4344,8629,40.72165481,-74.00234737,2019,2019,1,3,1,3,3,lifetime_aggregate,1988,23038.590798470275,1
nyc,2012,E 27 St & 1 Ave,52068,26929,25139,52068,40.739445,-73.976806,2019,2019,1,7,4,12,9,lifetime_aggregate,1361,2613.8895290773607,1
nyc,2012.0,E 27 St & 1 Ave,33106,17100,16006,33106,40.739445,-73.976806,2019,2019,1,5,1,8,8,lifetime_aggregate,1361,4111.037274210113,1
nyc,2017,E 43 St & 2 Ave,31571,16123,15448,31571,40.75022392,-73.97121414,2019,2019,1,7,4,12,9,lifetime_aggregate,1662,5264.324855088531,1
nyc,2017.0,E 43 St & 2 Ave,13292,6742,6550,13292,40.75022392,-73.97121414,2019,2019,1,4,2,8,7,lifetime_aggregate,1662,12503.761661149565,1
nyc,2021,W 45 St & 8 Ave,66510,33394,33116,66510,40.75929124,-73.98859651,2019,2019,1,7,4,12,9,lifetime_aggregate,2522,3791.9109908284468,1
nyc,2021.0,W 45 St & 8 Ave,38201,19160,19041,38201,40.75929124,-73.98859651,2019,2019,1,5,1,8,8,lifetime_aggregate,2522,6601.921415669747,1
nyc,2022,E 60 St & York Ave,15866,7916,7950,15866,40.75910700000001,-73.959223,2019,2019,1,7,4,12,9,lifetime_aggregate,1749,11023.572419009202,1
nyc,2022.0,E 60 St & York Ave,9405,4721,4684,9405,40.759107,-73.959223,2019,2019,1,5,1,8,8,lifetime_aggregate,1749,18596.491228070176,1
nyc,2023,E 55 St & Lexington Ave,16819,8382,8437,16819,40.75968085,-73.97031366,2019,2019,1,3,4,6,3,lifetime_aggregate,2170,12902.075034187526,1
nyc,2023.0,E 55 St & Lexington Ave,12903,6393,6510,12903,40.75968085,-73.97031366,2019,2019,1,4,1,7,7,lifetime_aggregate,2170,16817.79431140045,1
nyc,2042.01,4 Ave & 99 St,102,44,58,102,40.61327,-74.03315,2025,2025,1,2,11,12,2,lifetime_aggregate,295,289215.6862745098,1
nyc,2086.07,99 St & 3 Ave,131,61,70,131,40.61451,-74.03502,2025,2025,1,2,11,12,2,lifetime_aggregate,345,263358.7786259542,1
nyc,2118.13,Fort Hamilton Pkwy & 95 St,52,22,30,52,40.61466,-74.02946,2025,2025,1,2,11,12,2,lifetime_aggregate,416,800000.0,1
nyc,212,W 16 St & The High Line,70383,34700,35683,70383,40.74334933824054,-74.00681753614212,2019,2019,1,7,4,12,9,lifetime_aggregate,774,1099.697370103576,1
nyc,212.0,W 16 St & The High Line,41111,20282,20829,41111,40.74334935,-74.00681753,2019,2019,1,5,1,8,8,lifetime_aggregate,774,1882.7077911021381,1
nyc,2127.03,Shore Rd & 97 St,101,45,56,101,40.61529,-74.03779,2025,2025,1,2,11,12,2,lifetime_aggregate,230,227722.7722772277,1
nyc,2158.08,4 Ave & 94 St,241,110,131,241,40.61689,-74.03091,2025,2025,1,2,11,12,2,lifetime_aggregate,519,215352.69709543567,1
nyc,216,Columbia Heights & Cranberry St,11000,5673,5327,11000,40.70037867,-73.99548059000001,2019,2019,1,7,4,12,9,lifetime_aggregate,738,6709.090909090909,1
nyc,216.0,Columbia Heights & Cranberry St,6478,3320,3158,6478,40.70037867,-73.99548059,2019,2019,1,5,1,8,8,lifetime_aggregate,738,11392.405063291139,1
nyc,217,Old Fulton St,49540,23155,26385,49540,40.70277159,-73.99383605,2019,2019,1,7,4,12,9,lifetime_aggregate,874,1764.2309245054503,1
nyc,217.0,Old Fulton St,28266,13218,15048,28266,40.70277159,-73.99383605,2019,2019,1,5,1,8,8,lifetime_aggregate,874,3092.0540578787236,1
nyc,2190.08,Fort Hamilton Pkwy & 92 St,138,61,77,138,40.61717,-74.02744,2025,2025,1,2,11,12,2,lifetime_aggregate,647,468840.5797101449,1
nyc,2200.07,96 St & Marine Ave,224,105,119,224,40.61699,-74.03568,2025,2025,1,2,11,12,2,lifetime_aggregate,360,160714.2857142857,1
nyc,223,W 13 St & 7 Ave,74940,37295,37645,74940,40.73781508999999,-73.99994660999998,2019,2019,1,7,4,12,9,lifetime_aggregate,1023,1365.0920736589271,1
nyc,223.0,W 13 St & 7 Ave,42461,21181,21280,42461,40.73781509,-73.99994661,2019,2019,1,5,1,8,8,lifetime_aggregate,1023,2409.2696827677164,1
nyc,2231.10,3 Ave & 92 St,268,128,140,268,40.61946,-74.03261,2025,2025,1,2,11,12,2,lifetime_aggregate,492,183582.08955223882,1
nyc,224,Spruce St & Nassau St,34646,17349,17297,34646,40.71146364,-74.00552427,2019,2019,1,7,4,12,9,lifetime_aggregate,1332,3844.599665185014,1
nyc,224.0,Spruce St & Nassau St,16528,8286,8242,16528,40.71146364,-74.00552427,2019,2019,1,5,1,8,8,lifetime_aggregate,1332,8059.051306873184,1
nyc,2240.06,Shore Rd & Oliver St,119,52,67,119,40.61919,-74.0402,2025,2025,1,2,11,12,2,lifetime_aggregate,119,100000.0,1
nyc,2261.04,5 Ave & 88 St,535,259,276,535,40.62021,-74.02717,2025,2025,1,3,10,12,3,lifetime_aggregate,884,165233.6448598131,1
nyc,228,E 48 St & 3 Ave,35983,18174,17809,35983,40.7546011026,-73.971878855,2019,2019,1,7,4,12,9,lifetime_aggregate,1789,4971.7922352221885,1
nyc,228.0,E 48 St & 3 Ave,22878,11606,11272,22878,40.7546011026,-73.971878855,2019,2019,1,5,1,8,8,lifetime_aggregate,1789,7819.739487717457,1
nyc,229,Great Jones St,97249,47444,49805,97249,40.72743423000001,-73.99379025,2019,2019,1,7,4,12,9,lifetime_aggregate,1352,1390.2456580530393,1
nyc,229.0,Great Jones St,59275,29079,30196,59275,40.72743423,-73.99379025,2019,2019,1,5,1,8,8,lifetime_aggregate,1352,2280.894137494728,1
nyc,2303.05,4 Ave & 87 St,360,176,184,360,40.62184,-74.02863,2025,2025,1,2,11,12,2,lifetime_aggregate,730,202777.77777777778,1
nyc,2312.02,Colonial Rd & 89 St,469,230,239,469,40.62254,-74.03726,2025,2025,1,3,10,12,3,lifetime_aggregate,213,45415.77825159915,1
nyc,232.0,Cadman Plaza E & Tillary St,1,0,1,1,40.69597683,-73.99014892,2019,2019,1,1,1,1,1,lifetime_aggregate,1402,140200000.0,1
nyc,2335.08,Fort Hamilton Pkwy & 85 St,380,185,195,380,40.62095,-74.02387999999999,2025,2025,1,2,11,12,2,lifetime_aggregate,797,209736.84210526317,1
nyc,2345.04,Ridge Blvd & 89 St,260,126,134,260,40.62194,-74.03477,2025,2025,1,2,11,12,2,lifetime_aggregate,329,126538.46153846153,1
nyc,2345.05,89 St & 3 Ave,105,48,57,105,40.62137,-74.03209,2025,2025,1,2,11,12,2,lifetime_aggregate,594,565714.2857142858,1
nyc,236,St Marks Pl & 2 Ave,72000,35740,36260,72000,40.7284186,-73.98713955999999,2019,2019,1,7,4,12,9,lifetime_aggregate,1120,1555.5555555555554,1
nyc,236.0,St Marks Pl & 2 Ave,45452,22306,23146,45452,40.7284186,-73.98713956,2019,2019,1,5,1,8,8,lifetime_aggregate,1120,2464.1379917275367,1
nyc,237,E 11 St & 2 Ave,71172,35249,35923,71172,40.73047309,-73.98672378,2019,2019,1,7,4,12,9,lifetime_aggregate,1258,1767.5490361378068,1
nyc,237.0,E 11 St & 2 Ave,43052,21439,21613,43052,40.73047309,-73.98672378,2019,2019,1,5,1,8,8,lifetime_aggregate,1258,2922.0477562018023,1
nyc,2377.01,4 Ave & 85 St,716,347,369,716,40.62354,-74.02817,2025,2025,1,2,11,12,2,lifetime_aggregate,668,93296.08938547486,1
nyc,238,Bank St & Washington St,46264,23120,23144,46264,40.7361967,-74.00859207,2019,2019,1,7,4,12,9,lifetime_aggregate,609,1316.3582915441812,1
nyc,238.0,Bank St & Washington St,26899,13390,13509,26899,40.7361967,-74.00859207,2019,2019,1,5,1,8,8,lifetime_aggregate,609,2264.0246849325254,1
nyc,2387.07,86 St & Ridge Blvd,523,258,265,523,40.62402,-74.03396,2025,2025,1,3,10,12,3,lifetime_aggregate,308,58891.013384321224,1
nyc,239,Willoughby St & Fleet St,32445,16699,15746,32445,40.69196566,-73.9813018,2019,2019,1,7,4,12,9,lifetime_aggregate,1523,4694.097703806441,1
nyc,239.0,Willoughby St & Fleet St,21551,11030,10521,21551,40.69196566000001,-73.9813018,2019,2019,1,5,1,8,8,lifetime_aggregate,1523,7066.957449770312,1
nyc,241,DeKalb Ave & S Portland Ave,21332,10778,10554,21332,40.68981035,-73.97493121,2019,2019,1,7,4,12,9,lifetime_aggregate,928,4350.2718919932495,1
nyc,241.0,DeKalb Ave & S Portland Ave,12743,6486,6257,12743,40.68981035,-73.97493121,2019,2019,1,5,1,8,8,lifetime_aggregate,928,7282.429569175233,1
nyc,2419.03,84 St & 3 Ave,285,140,145,285,40.62503,-74.03059,2025,2025,1,3,10,12,3,lifetime_aggregate,479,168070.1754385965,1
nyc,242,Carlton Ave & Flushing Ave,16400,7823,8577,16400,40.697787,-73.973736,2019,2019,1,7,4,12,9,lifetime_aggregate,639,3896.3414634146343,1
nyc,242.0,Carlton Ave & Flushing Ave,9167,4388,4779,9167,40.697787,-73.973736,2019,2019,1,5,1,8,8,lifetime_aggregate,639,6970.655612523181,1
nyc,243,Fulton St & Rockwell Pl,17151,8176,8975,17151,40.688383714285706,-73.97944714285714,2019,2019,1,7,4,12,9,lifetime_aggregate,1775,10349.250772549705,1
nyc,243.0,Fulton St & Rockwell Pl,10615,4964,5651,10615,40.6882996,-73.9794124,2019,2019,1,5,1,8,8,lifetime_aggregate,1771,16683.937823834196,1
nyc,244,Willoughby Ave & Hall St,20653,10672,9981,20653,40.69196035,-73.96536851,2019,2019,1,7,4,12,9,lifetime_aggregate,820,3970.36750108943,1
nyc,244.0,Willoughby Ave & Hall St,13938,7241,6697,13938,40.69196035,-73.96536851,2019,2019,1,5,1,8,8,lifetime_aggregate,820,5883.197015353709,1
nyc,245,Myrtle Ave & St Edwards St,11622,5914,5708,11622,40.69327018,-73.97703874,2019,2019,1,7,4,12,9,lifetime_aggregate,1041,8957.150232318018,1
nyc,245.0,Myrtle Ave & St Edwards St,7295,3729,3566,7295,40.69327018,-73.97703874,2019,2019,1,5,1,8,8,lifetime_aggregate,1041,14270.047978067169,1
nyc,2453.05,4 Ave & 81 St,417,197,220,417,40.62643,-74.02707,2025,2025,1,3,10,12,3,lifetime_aggregate,557,133573.14148681055,1
nyc,2463.04,Ridge Blvd & 82 St,213,97,116,213,40.62711,-74.0326,2025,2025,1,3,10,12,3,lifetime_aggregate,282,132394.3661971831,1
nyc,247,Perry St & Bleecker St,45922,22894,23028,45922,40.73535398,-74.00483091,2019,2019,1,7,4,12,9,lifetime_aggregate,1019,2218.9800095814644,1
nyc,247.0,Perry St & Bleecker St,27258,13630,13628,27258,40.73535398,-74.00483091,2019,2019,1,5,1,8,8,lifetime_aggregate,1019,3738.3520434367892,1
nyc,2472.02,Shore Rd & 86 St,106,51,55,106,40.625609999999995,-74.04079,2025,2025,1,2,11,12,2,lifetime_aggregate,124,116981.13207547169,1
nyc,248,Laight St & Hudson St,15163,7551,7612,15163,40.72185379,-74.00771779,2019,2019,1,7,4,12,9,lifetime_aggregate,1443,9516.586427487964,1
nyc,248.0,Laight St & Hudson St,9158,4546,4612,9158,40.72185379,-74.00771779,2019,2019,1,5,1,8,8,lifetime_aggregate,1443,15756.715440052412,1
nyc,2488.09,6 Ave & 78 St,584,286,298,584,40.62569,-74.02119,2025,2025,1,3,10,12,3,lifetime_aggregate,630,107876.71232876713,1
nyc,249,Harrison St & Hudson St,23975,12003,11972,23975,40.71870987,-74.0090009,2019,2019,1,7,4,12,9,lifetime_aggregate,1200,5005.213764337852,1
nyc,249.0,Harrison St & Hudson St,13942,6956,6986,13942,40.71870987,-74.0090009,2019,2019,1,5,1,8,8,lifetime_aggregate,1200,8607.086501219337,1
