mode,start_station_id,start_station_name,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,year_min,year_max,years_count,months_count,first_month,last_month,observation_months,data_quality,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available
nyc,252,MacDougal St & Washington Sq,85618,42431,43187,85618,40.73226398,-73.99852205,2019,2019,1,12,1,12,12,lifetime_aggregate,1003,1171.4826321567896,1
nyc,2533.04,79 St & 5 Ave,719,348,371,719,40.62646,-74.02367,2025,2025,1,3,10,12,3,lifetime_aggregate,599,83310.15299026425,1
nyc,254,W 11 St & 6 Ave,97531,48875,48656,97531,40.73532427,-73.99800419,2019,2019,1,12,1,12,12,lifetime_aggregate,1100,1127.8465308466027,1
nyc,2569.07,6 Ave & 74 St,159,74,85,159,40.629233,-74.019864,2025,2025,1,2,11,12,2,lifetime_aggregate,662,416352.2012578617,1
nyc,257,Lispenard St & Broadway,97705,48550,49155,97705,40.71939226,-74.00247214,2019,2019,1,12,1,12,12,lifetime_aggregate,2034,2081.776777032905,1
nyc,2578.16,3 Ave & 77 St,1431,706,725,1431,40.62991,-74.02834,2025,2025,1,3,10,12,3,lifetime_aggregate,493,34451.43256464011,1
nyc,2578.17,4 Ave & 76 St,444,219,225,444,40.63005,-74.0255,2025,2025,1,2,11,12,2,lifetime_aggregate,582,131081.08108108107,1
nyc,258,DeKalb Ave & Vanderbilt Ave,34673,18167,16506,34673,40.68940747,-73.96885458,2019,2019,1,12,1,12,12,lifetime_aggregate,722,2082.311885328642,1
nyc,259,South St & Whitehall St,61850,30089,31761,61850,40.70122128,-74.01234218,2019,2019,1,12,1,12,12,lifetime_aggregate,385,622.4737267582861,1
nyc,260,Broad St & Bridge St,31973,15308,16665,31973,40.70365182,-74.01167797,2019,2019,1,12,1,12,12,lifetime_aggregate,778,2433.3030994901947,1
nyc,261,Johnson St & Gold St,30074,14958,15116,30074,40.69474881,-73.98362464,2019,2019,1,12,1,12,12,lifetime_aggregate,2005,6666.888342089513,1
nyc,2615.05,Bay Ridge Pkwy & 5 Ave,699,340,359,699,40.62967,-74.02275,2025,2025,1,3,10,12,3,lifetime_aggregate,652,93276.1087267525,1
nyc,262,Washington Park,26834,13838,12996,26834,40.6917823,-73.9737299,2019,2019,1,12,1,12,12,lifetime_aggregate,731,2724.15592159201,1
nyc,2625.01,78 St & Ridge Blvd,350,170,180,350,40.62994,-74.03121,2025,2025,1,3,10,12,3,lifetime_aggregate,339,96857.14285714286,1
nyc,2635.08,Shore Rd & 80 St,334,161,173,334,40.63074,-74.03962,2025,2025,1,3,10,12,3,lifetime_aggregate,107,32035.92814371258,1
nyc,264,Maiden Ln & Pearl St,49694,24452,25242,49694,40.70706456,-74.00731853,2019,2019,1,12,1,12,12,lifetime_aggregate,1050,2112.931138568036,1
nyc,265,Stanton St & Chrystie St,96879,47546,49333,96879,40.72229346,-73.99147535,2019,2019,1,12,1,12,12,lifetime_aggregate,2483,2562.990947470556,1
nyc,266,Avenue D & E 8 St,48349,25336,23013,48349,40.72368361,-73.97574813,2019,2019,1,12,1,12,12,lifetime_aggregate,566,1170.6550290595462,1
nyc,2660.09,4 Ave & 72 St,708,344,364,708,40.63283,-74.02439,2025,2025,1,3,10,12,3,lifetime_aggregate,701,99011.29943502824,1
nyc,267,Broadway & W 36 St,60523,30631,29892,60523,40.75097716525252,-73.98765435269054,2019,2019,1,11,1,12,12,lifetime_aggregate,1972,3258.265452803066,1
nyc,2671.05,77 St & Colonial Rd,134,62,72,134,40.63121,-74.03318,2025,2025,1,2,11,12,2,lifetime_aggregate,252,188059.70149253734,1
nyc,268,Howard St & Centre St,94277,46966,47311,94277,40.71910537,-73.99973337,2019,2019,1,12,1,12,12,lifetime_aggregate,2409,2555.236165766836,1
nyc,2698.07,68 St & 5 Ave,898,444,454,898,40.63416,-74.02058,2025,2025,1,4,9,12,4,lifetime_aggregate,1080,120267.26057906459,1
nyc,270,Adelphi St & Myrtle Ave,38789,19604,19185,38789,40.69308257,-73.97178913,2019,2019,1,12,1,12,12,lifetime_aggregate,860,2217.1234112763927,1
nyc,2708.07,73 St & Ridge Blvd,1000,488,512,1000,40.63349,-74.02976,2025,2025,1,3,10,12,3,lifetime_aggregate,466,46600.0,1
nyc,2717.06,Shore Rd & 74 St,1191,589,602,1191,40.63414,-74.03699,2025,2025,1,4,9,12,4,lifetime_aggregate,144,12090.680100755668,1
nyc,2733.03,67 St & Erik Pl,8494,4181,4313,8494,40.633385,-74.016562,2023,2025,2,12,1,12,36,lifetime_aggregate,1036,12196.844831645867,1
nyc,274,Lafayette Ave & Fort Greene Pl,42163,20704,21459,42163,40.68691865,-73.976682,2019,2019,1,12,1,12,12,lifetime_aggregate,1815,4304.722149752152,1
nyc,2743.04,68 St & 4 Ave,1082,538,544,1082,40.63537,-74.02342,2025,2025,1,3,10,12,3,lifetime_aggregate,867,80129.3900184843,1
nyc,275,Washington Ave & Greene Ave,22833,11603,11230,22833,40.68650065,-73.96563307,2019,2019,1,12,1,12,12,lifetime_aggregate,838,3670.1265711908204,1
nyc,2754.05,Colonial Rd & 71 St,319,155,164,319,40.63537000000001,-74.03202,2025,2025,1,2,11,12,2,lifetime_aggregate,321,100626.9592476489,1
nyc,276,Duane St & Greenwich St,43575,21723,21852,43575,40.71748752,-74.0104554,2019,2019,1,12,1,12,12,lifetime_aggregate,926,2125.0717154331614,1
nyc,278,Concord St & Bridge St,19694,9889,9805,19694,40.69766564,-73.98476437,2019,2019,1,12,1,12,12,lifetime_aggregate,2015,10231.542601807658,1
nyc,2782.02,5 Ave & 66 St,5209,2581,2628,5209,40.635679,-74.020005,2023,2023,1,10,1,10,10,lifetime_aggregate,1108,21270.877327702052,1
nyc,2782.02,5 Ave & 67 St,6503,3238,3265,6503,40.63576040134962,-74.01992595751162,2023,2025,2,12,10,12,27,lifetime_aggregate,1126,17315.08534522528,1
nyc,279,Peck Slip & Front St,75553,36728,38825,75553,40.707873,-74.00167,2019,2019,1,12,1,12,12,lifetime_aggregate,756,1000.6220798644661,1
nyc,2793.07,Ovington Ave & 3 Ave,1833,915,918,1833,40.63487,-74.02625,2025,2025,1,4,9,12,4,lifetime_aggregate,657,35842.88052373158,1
nyc,280,E 10 St & 5 Ave,80002,39838,40164,80002,40.73331967,-73.99510132,2019,2019,1,12,1,12,12,lifetime_aggregate,1084,1354.9661258468539,1
nyc,281,Grand Army Plaza & Central Park S,151520,77736,73784,151520,40.76439708999496,-73.97371465718948,2019,2019,1,12,1,12,12,lifetime_aggregate,1528,1008.4477296726504,1
nyc,2818.01,Ditmas Ave & McDonald Ave,326,159,167,326,40.63548,-73.97825,2025,2025,1,2,11,12,2,lifetime_aggregate,532,163190.18404907975,1
nyc,282,Kent Ave & S 11 St,44610,22188,22422,44610,40.707644944175705,-73.96841526031494,2019,2019,1,12,1,12,12,lifetime_aggregate,386,865.2768437570052,1
nyc,2821.05,7 Ave & 62 St,13274,6518,6756,13274,40.63556,-74.01298,2023,2025,2,12,1,12,36,lifetime_aggregate,1140,8588.217568178394,1
nyc,2832.03,4 Ave & Shore Road Dr,13580,6740,6840,13580,40.637033,-74.022141,2023,2025,2,12,1,12,36,lifetime_aggregate,1000,7363.7702503681885,1
nyc,284,Greenwich Ave & 8 Ave,120937,60000,60937,120937,40.7390169121,-74.0026376103,2019,2019,1,9,4,12,9,lifetime_aggregate,943,779.7448258184013,1
nyc,2843.01,Colonial Rd & 68 St,1267,615,652,1267,40.63841,-74.03093,2025,2025,1,4,9,12,4,lifetime_aggregate,319,25177.58484609313,1
