mode,start_station_id,start_station_name,year,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,months_covered,crashes_within_100m,crashes_within_100m_per_100k_trips,risk_proxy_available,data_quality
nyc,7840.11,E 147 St & Bergen Ave,2023,10408,5156,5252,10408,40.814673,-73.91839,12,8,76.86395080707149,1,yearly
nyc,7842.16,Amsterdam Ave & W 131 St,2023,13695,6841,6854,13695,40.816355,-73.954295,12,12,87.62322015334064,1,yearly
nyc,7844.05,Barry St & Tiffany St,2023,4047,2020,2027,4047,40.816126,-73.891559,12,6,148.25796886582654,1,yearly
nyc,7845.06,Grand Concourse & E 144 St,2023,18632,9293,9339,18632,40.816576,-73.927987,12,11,59.03821382567626,1,yearly
nyc,7849.1,Longwood Ave & Southern Blvd,2023,2026,1752,274,2026,40.816343,-73.896447,11,29,1431.3919052319843,1,yearly
nyc,7849.10,Longwood Ave & Southern Blvd,2023,5533,2000,3533,5533,40.816343,-73.896447,12,29,524.1279595156335,1,yearly
nyc,7851.04,5 Av & W 139 St,2023,17595,8811,8784,17595,40.815484,-73.935856,12,11,62.5177607274794,1,yearly
nyc,7853.01,Westchester Ave & Jackson Ave,2023,12323,6180,6143,12323,40.816124,-73.908116,12,7,56.80434959019719,1,yearly
nyc,7855.03,Adam Clayton Powell Blvd & W 138 St,2023,36853,18380,18473,36853,40.81695971067946,-73.94229590903946,12,12,32.56179958212358,1,yearly
nyc,7858.02,Bergen Ave & E 152 St,2023,12278,6123,6155,12278,40.817166,-73.914737,12,7,57.01254275940707,1,yearly
nyc,7860.08,Convent Ave & W 135 St,2023,23208,11623,11585,23208,40.818215,-73.950988,12,7,30.1620130989314,1,yearly
nyc,7863.03,E 149 St & Morris Ave,2023,16633,8264,8369,16633,40.81734,-73.922962,12,18,108.21860157518186,1,yearly
nyc,7865.09,Broadway & W 131 St,2023,20892,10438,10454,20892,40.817555,-73.957163,12,11,52.65173272065863,1,yearly
nyc,7867.04,Southern Blvd & Tiffany St,2023,4747,2367,2380,4747,40.818185,-73.894143,12,28,589.8462186644196,1,yearly
nyc,7868.05,Gerard Ave & E 146 St,2023,7755,3879,3876,7755,40.817755,-73.92965,12,7,90.26434558349452,1,yearly
nyc,7870.02,Prospect Ave & Longwood Ave,2023,5863,3121,2742,5863,40.81899,-73.90202,12,6,102.33668770254135,1,yearly
nyc,7872.03,Lenox Ave & W 140 St,2023,23411,11690,11721,23411,40.817245,-73.938787,12,23,98.24441501858101,1,yearly
nyc,7876.07,Frederick Douglass Blvd & W 139 St,2023,16895,8457,8438,16895,40.81900581813489,-73.9447689056756,12,11,65.10802012429713,1,yearly
nyc,7879.01,Melrose Ave & E 150 St,2023,37380,18638,18742,37380,40.816827,-73.917338,12,30,80.25682182985554,1,yearly
nyc,7881.09,Old Broadway & W 133 St,2023,5862,2922,2940,5862,40.818212,-73.955277,12,13,221.76731490958718,1,yearly
