mode,start_station_id,start_station_name,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,year_min,year_max,years_count,months_count,first_month,last_month,observation_months,data_quality,crashes_within_100m,crashes_within_100m_per_100k_trips,risk_proxy_available
nyc,2377.01,4 Ave & 85 St,716,347,369,716,40.62354,-74.02817,2025,2025,1,2,11,12,2,lifetime_aggregate,63,8798.882681564246,1
nyc,238,Bank St & Washington St,73163,36510,36653,73163,40.7361967,-74.00859207,2019,2019,1,12,1,12,12,lifetime_aggregate,30,41.004332791164934,1
nyc,2387.07,86 St & Ridge Blvd,523,258,265,523,40.62402,-74.03396,2025,2025,1,3,10,12,3,lifetime_aggregate,13,2485.65965583174,1
nyc,239,Willoughby St & Fleet St,53996,27729,26267,53996,40.69196566,-73.9813018,2019,2019,1,12,1,12,12,lifetime_aggregate,23,42.59574783317282,1
nyc,241,DeKalb Ave & S Portland Ave,34075,17264,16811,34075,40.68981035,-73.97493121,2019,2019,1,12,1,12,12,lifetime_aggregate,31,90.97578870139398,1
nyc,2419.03,84 St & 3 Ave,285,140,145,285,40.62503,-74.03059,2025,2025,1,3,10,12,3,lifetime_aggregate,25,8771.929824561403,1
nyc,242,Carlton Ave & Flushing Ave,25567,12211,13356,25567,40.697787,-73.973736,2019,2019,1,12,1,12,12,lifetime_aggregate,33,129.0726326905777,1
nyc,243,Fulton St & Rockwell Pl,27766,13140,14626,27766,40.68834866666666,-73.97943266666665,2019,2019,1,12,1,12,12,lifetime_aggregate,50,180.0763523734063,1
nyc,244,Willoughby Ave & Hall St,34591,17913,16678,34591,40.69196035,-73.96536851,2019,2019,1,12,1,12,12,lifetime_aggregate,4,11.56370154086323,1
nyc,245,Myrtle Ave & St Edwards St,18917,9643,9274,18917,40.69327018,-73.97703874,2019,2019,1,12,1,12,12,lifetime_aggregate,28,148.01501295131362,1
nyc,2453.05,4 Ave & 81 St,417,197,220,417,40.62643,-74.02707,2025,2025,1,3,10,12,3,lifetime_aggregate,29,6954.436450839328,1
nyc,2463.04,Ridge Blvd & 82 St,213,97,116,213,40.62711,-74.0326,2025,2025,1,3,10,12,3,lifetime_aggregate,10,4694.835680751174,1
nyc,247,Perry St & Bleecker St,73180,36524,36656,73180,40.73535398,-74.00483091,2019,2019,1,12,1,12,12,lifetime_aggregate,30,40.99480732440558,1
nyc,2472.02,Shore Rd & 86 St,106,51,55,106,40.625609999999995,-74.04079,2025,2025,1,2,11,12,2,lifetime_aggregate,11,10377.35849056604,1
nyc,248,Laight St & Hudson St,24321,12097,12224,24321,40.72185379,-74.00771779,2019,2019,1,12,1,12,12,lifetime_aggregate,35,143.90855639159574,1
nyc,2488.09,6 Ave & 78 St,584,286,298,584,40.62569,-74.02119,2025,2025,1,3,10,12,3,lifetime_aggregate,20,3424.6575342465753,1
