mode,year,month,start_station_id,start_station_name,start_trips,end_trips,station_lat,station_lng,touchpoints,trips
nyc,2019,1,3157,East End Ave & E 86 St,376,369,40.77518615,-73.94446054,745,745
nyc,2019,1,3158,W 63 St & Broadway,2555,2473,40.77163851,-73.98261428,5028,5028
nyc,2019,1,3159,W 67 St & Broadway,2113,2067,40.77492513,-73.98266566,4180,4180
nyc,2019,1,316,Fulton St & William St,1966,2012,40.70955958,-74.00653609,3978,3978
nyc,2019,1,3160,Central Park West & W 76 St,1277,1220,40.77896784,-73.97374737,2497,2497
nyc,2019,1,3161,W 76 St & Columbus Ave,1128,1063,40.7801839724239,-73.97728532552719,2191,2191
nyc,2019,1,3162,W 78 St & Broadway,1189,1085,40.78339981,-73.98093133,2274,2274
nyc,2019,1,3163,Central Park West & W 68 St,1929,1674,40.7734066,-73.97782542,3603,3603
nyc,2019,1,3164,Columbus Ave & W 72 St,3290,2587,40.7770575,-73.97898475,5877,5877
nyc,2019,1,3165,Central Park West & W 72 St,2177,2098,40.77579376683666,-73.9762057363987,4275,4275
nyc,2019,1,3166,Riverside Dr & W 72 St,831,839,40.78057799010334,-73.98562431335449,1670,1670
nyc,2019,1,3167,Amsterdam Ave & W 73 St,2959,2818,40.77966809007312,-73.98093044757842,5777,5777
nyc,2019,1,3168,Central Park West & W 85 St,1623,1600,40.78472675,-73.96961715,3223,3223
nyc,2019,1,3169,Riverside Dr & W 82 St,803,765,40.78720869,-73.98128127,1568,1568
nyc,2019,1,317,E 6 St & Avenue B,2117,2135,40.72453734,-73.98185424,4252,4252
nyc,2019,1,3170,W 84 St & Columbus Ave,1447,1315,40.78499979,-73.97283406,2762,2762
nyc,2019,1,3171,Amsterdam Ave & W 82 St,1610,1465,40.78524672,-73.97667321,3075,3075
nyc,2019,1,3172,W 74 St & Columbus Ave,1045,1033,40.7785669,-73.97754961,2078,2078
nyc,2019,1,3173,Riverside Blvd & W 67 St,1007,1009,40.777507027547976,-73.98888587951659,2016,2016
nyc,2019,1,3175,W 70 St & Amsterdam Ave,1889,1869,40.77748046,-73.98288594,3758,3758
nyc,2019,1,3177,W 84 St & Broadway,1366,1102,40.7867947,-73.977112,2468,2468
nyc,2019,1,3178,Riverside Dr & W 78 St,459,410,40.78414472,-73.98362492,869,869
nyc,2019,1,3179,Park Ave & Marcus Garvey Blvd,220,213,40.698617,-73.941342,433,433
nyc,2019,1,319,Fulton St & Broadway,2370,2382,40.711066,-74.009447,4752,4752
nyc,2019,1,320,Leonard St & Church St,1340,1345,40.717571,-74.005549,2685,2685
nyc,2019,1,321,Cadman Plaza E & Red Cross Pl,1118,1101,40.69991755,-73.98971773,2219,2219
nyc,2019,1,3221,47 Ave & 31 St,229,234,40.743,-73.93561,463,463
nyc,2019,1,3223,E 55 St & 3 Ave,1840,1868,40.75899655960512,-73.96865397691727,3708,3708
