mode,start_station_id,start_station_name,trips,start_trips,end_trips,touchpoints,station_lat,station_lng,year_min,year_max,years_count,months_count,data_quality,crashes_within_500m,crashes_within_500m_per_100k_trips,risk_proxy_available
jc,HB201,12 St & Sinatra Dr N,66499,32863,33636,66499,40.75059467623016,-74.02404989538064,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB202,14 St Ferry - 14 St & Shipyard Ln,68155,33975,34180,68155,40.75292043241286,-74.02434452033502,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB203,Bloomfield St & 15 St,46730,23330,23400,46730,40.75449771881579,-74.02658812557641,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB301,4 St & Grand St,46547,23330,23217,46547,40.74225385798773,-74.0351031486465,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB302,6 St & Grand St,35789,18003,17786,35789,40.74438159525705,-74.03449357112699,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB303,Clinton St & 7 St,59638,29666,29972,59638,40.745408725961646,-74.03333236797171,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB304,7 St & Monroe St,50494,25198,25296,50494,40.74640362358267,-74.03799560280102,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB305,9 St HBLR - Jackson St & 8 St,56946,28276,28670,56946,40.747908169940594,-74.0384117037277,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB401,Southwest Park - Jackson St & Observer Hwy,49819,24769,25050,49819,40.73755590725073,-74.0416591547661,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB402,Madison St & 1 St,58906,29693,29213,58906,40.73878248243147,-74.03928653095069,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB404,Mama Johnson Field - 4 St & Jackson St,32098,16075,16023,32098,40.74313687364499,-74.04004515247838,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB407,Adams St & 2 St,45072,22488,22584,45072,40.73980288998553,-74.03689949093469,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB408,Marshall St & 2 St,50779,25355,25424,50779,40.740780438243895,-74.04253074251234,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB409,Clinton St & Newark St,48102,23979,24123,48102,40.73743444309654,-74.03570541737086,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB501,Columbus Park - Clinton St & 9 St,68348,34117,34231,68348,40.74815738443504,-74.03245829992186,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB502,11 St & Washington St,76245,38161,38084,76245,40.74997487990786,-74.02717695679762,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB503,Madison St & 10 St,22430,10952,11478,22430,40.7499465800476,-74.03587238842577,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB505,Willow Ave & 12 St,48253,24030,24223,48253,40.75185895828804,-74.03038118337683,2023,2025,2,12,lifetime_aggregate,0,0.0,0
jc,HB506,Grand St & 14 St,41325,20487,20838,41325,40.75405743526864,-74.03160309625919,2023,2025,2,12,lifetime_aggregate,0,0.0,0
